model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,preproc_scaled
XGBoost,f1,0.08930778503417969,0.0032080722738428635,0.019135316212972004,0.001357532880747071,0.2,15,100,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.8898678414096917,0.9315673289183223,0.8852097130242825,0.9022149611174322,0.020842195368255347,19,0.912718204488778,0.9375,0.8983050847457628,0.916174429744847,0.016186814906217675,22,0.9606299212598425,0.984251968503937,0.973753280839895,0.9728783902012248,0.009663482954669548,20,0.9360613810741688,0.9603072983354674,0.9345088161209067,0.9436258318435143,0.011812595191154756,21,False
XGBoost,f1,0.4891948699951172,0.03877472636762213,0.026769638061523438,0.004142782758886029,0.05,10,1500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8898678414096917,0.9293598233995585,0.8874172185430463,0.9022149611174322,0.01922037199337089,19,0.9106699751861043,0.9395465994962217,0.9004854368932039,0.9169006705251767,0.01654407808010873,18,0.963254593175853,0.979002624671916,0.973753280839895,0.9720034995625547,0.006547082041599182,26,0.9362244897959183,0.9588688946015425,0.935687263556116,0.943593549317859,0.010803526682215016,22,False
XGBoost,f1,0.0818937619527181,0.0019500381885166243,0.018324534098307293,0.0007492439136364395,0.1,5,100,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8920704845814978,0.9315673289183223,0.8807947019867549,0.9014775051621916,0.02176899842340368,28,0.9108910891089109,0.9375,0.8939759036144578,0.9141223309077895,0.017914936677097273,44,0.9658792650918635,0.984251968503937,0.973753280839895,0.9746281714785652,0.00752609384693145,10,0.9375796178343949,0.9603072983354674,0.9321608040201005,0.9433492400633209,0.012193514425289988,23,False
XGBoost,f1,0.4048004150390625,0.07141113941162328,0.026060740152994793,0.004933203983945797,0.2,10,1500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8876651982378855,0.9315673289183223,0.8852097130242825,0.9014807467268301,0.02129803078350385,26,0.9104477611940298,0.9375,0.8963855421686747,0.9147777677875681,0.017061875209874997,35,0.9606299212598425,0.984251968503937,0.9763779527559056,0.9737532808398951,0.009820623062398828,13,0.9348659003831418,0.9603072983354674,0.9346733668341709,0.9432821885175934,0.012038827199935835,24,False
XGBoost,f1,0.20106991132100424,0.01568157521121337,0.01914048194885254,0.0004654461131454381,0.1,15,500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.8920704845814978,0.9271523178807947,0.8852097130242825,0.9014775051621916,0.018369622617999473,28,0.9129353233830846,0.9371859296482412,0.8963855421686747,0.9155022650666669,0.016755293627704164,29,0.963254593175853,0.979002624671916,0.9763779527559056,0.9728783902012248,0.006888895777788105,20,0.9374201787994891,0.9576379974326059,0.9346733668341709,0.9432438476887554,0.010239788543698855,25,False
XGBoost,f1,0.25106287002563477,0.01252092903155381,0.018984238306681316,0.0009156723357443393,0.1,5,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 1000}",0.8942731277533039,0.9271523178807947,0.8830022075055187,0.9014758843798725,0.018729973105576784,31,0.913151364764268,0.9393939393939394,0.8961352657004831,0.9162268566195634,0.017793673033660504,20,0.9658792650918635,0.9763779527559056,0.973753280839895,0.9720034995625547,0.004461084438838848,26,0.9387755102040817,0.9575289575289575,0.9333333333333333,0.9432126003554574,0.010364133162419504,26,False
XGBoost,f1,0.26892820994059247,0.004165170949840852,0.03346896171569824,0.019139549831897293,0.1,20,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 1000}",0.8876651982378855,0.9293598233995585,0.8874172185430463,0.9014807467268301,0.019713744115466985,26,0.9104477611940298,0.9395465994962217,0.8985507246376812,0.9161816951093109,0.017220606599127806,21,0.9606299212598425,0.979002624671916,0.9763779527559056,0.9720034995625547,0.008113402008307728,26,0.9348659003831418,0.9588688946015425,0.9358490566037736,0.9431946171961526,0.011090653066866045,27,False
XGBoost,f1,0.5380756855010986,0.09974659780165505,0.029439290364583332,0.004968116692292214,0.05,20,1500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 20, 'classifier__n_estimators': 1500}",0.8854625550660793,0.9271523178807947,0.891832229580574,0.9014823675091493,0.01833672003416828,23,0.9102244389027432,0.9371859296482412,0.9009661835748792,0.9161255173752879,0.015364125894629843,23,0.958005249343832,0.979002624671916,0.979002624671916,0.9720034995625547,0.009898257654404864,26,0.9335038363171355,0.9576379974326059,0.9383647798742139,0.9431688712079852,0.010421896927280332,28,False
XGBoost,f1,0.46008745829264325,0.049311841665368374,0.022321144739786785,0.001738967328119223,0.05,15,1500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.8854625550660793,0.9271523178807947,0.891832229580574,0.9014823675091493,0.01833672003416828,23,0.9102244389027432,0.9371859296482412,0.9009661835748792,0.9161255173752879,0.015364125894629843,23,0.958005249343832,0.979002624671916,0.979002624671916,0.9720034995625547,0.009898257654404864,26,0.9335038363171355,0.9576379974326059,0.9383647798742139,0.9431688712079852,0.010421896927280332,28,False
XGBoost,f1,0.3454860846201579,0.01743495643637659,0.021845340728759766,0.0023060004951183993,0.05,20,1000,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 20, 'classifier__n_estimators': 1000}",0.8854625550660793,0.9293598233995585,0.8896247240618101,0.9014823675091493,0.019785437791105143,23,0.9102244389027432,0.9373433583959899,0.9007263922518159,0.9160980631835164,0.01551504966249785,25,0.958005249343832,0.9816272965879265,0.9763779527559056,0.9720034995625547,0.010127591341023812,26,0.9335038363171355,0.958974358974359,0.9370277078085643,0.9431686343666863,0.011268543690356797,30,False
