model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__learning_rate
XGBoost,f1_macro,0.29408923784891766,0.004327012414087184,0.03974525133768717,0.02495644427786264,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8942731277533039,0.9315673289183223,0.8896247240618101,0.9051550602444788,0.01877245973217582,10,0.8291247019899771,0.9062128825947922,0.8441344324667089,0.8598240056838261,0.033369336503658614,10,0.7432136051486715,0.8241469816272966,0.6978346456692913,0.7550650774817531,0.052243306436572,15,0.7758393680052666,0.8580554516693115,0.7413202375513933,0.7917383524086571,0.04896502719685751,11,False,10,1000.0,0.1
XGBoost,f1_macro,0.08633089065551758,0.002881379866530013,0.018020073572794598,0.00041919773733179865,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8942731277533039,0.9227373068432672,0.891832229580574,0.902947554725715,0.014028903797233028,18,0.8255305133392932,0.876322808225071,0.8417002131186361,0.8478511782276668,0.021187104313242656,29,0.7487505842591594,0.8188976377952756,0.710411198600175,0.7593531402182033,0.04491946509741301,5,0.7788332724394106,0.8438315685791677,0.7522905065339419,0.7916517825175067,0.038454970728187716,12,False,5,100.0,0.2
XGBoost,f1_macro,0.9440482457478842,0.025664745716461497,0.023198843002319336,0.004342732242320992,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 500}",0.9008810572687225,0.9249448123620309,0.8874172185430463,0.9044143627245999,0.015522956334497434,15,0.8435706084959816,0.8881567110471393,0.8338907469342252,0.8552060221591153,0.023632405063248808,13,0.758224571243663,0.8145778652668416,0.6965223097112861,0.7564415820739302,0.048212466141495325,10,0.791264367816092,0.8453366002570695,0.7381947985721571,0.7915985888817728,0.043741095816656084,13,False,5,500.0,0.05
XGBoost,f1_macro,0.12517579396565756,0.01019997473667612,0.020837148030598957,0.0015013798322042271,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.8942731277533039,0.9359823399558499,0.8896247240618101,0.9066267305903213,0.020844116118398256,1,0.8375241779497098,0.9372095372802587,0.8441344324667089,0.8729560492322258,0.045514150993208734,2,0.7321396469276957,0.8155074365704287,0.6978346456692913,0.7484939097224719,0.049411994922192386,32,0.7695431472081218,0.8616939516765805,0.7413202375513933,0.7908524454786985,0.05140053441785325,14,False,20,100.0,0.05
XGBoost,f1_macro,0.12373113632202148,0.02150877628628683,0.021348079045613606,0.003687253218371666,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.8920704845814978,0.9359823399558499,0.8896247240618101,0.9058925161997192,0.021300133902336024,6,0.8294334975369457,0.9372095372802587,0.8441344324667089,0.8702591557613045,0.04771997877271412,3,0.7308273109696903,0.8155074365704287,0.6978346456692913,0.7480564644031368,0.049560429280092855,36,0.7663897844098837,0.8616939516765805,0.7413202375513933,0.7898013245459525,0.051855780273949145,15,False,15,100.0,0.05
XGBoost,f1_macro,0.12402002016703288,0.016600143585780203,0.026193936665852863,0.003298871127998052,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.9008810572687225,0.9315673289183223,0.8874172185430463,0.9066218682433638,0.018475673095942186,3,0.8580562659846547,0.9257678318852294,0.8402091995841996,0.8746777658180278,0.03685354422430153,1,0.7416136339121994,0.807250656167979,0.6908902012248469,0.7465848304350083,0.04763383576684721,40,0.7824072594817395,0.8521556035163447,0.7340600646921368,0.7895409758967403,0.04847546805661764,16,False,10,100.0,0.05
XGBoost,f1_macro,0.46972091992696124,0.05163511316749663,0.02784442901611328,0.002778200569214206,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8920704845814978,0.9337748344370861,0.8852097130242825,0.9036850106809555,0.021460283732922775,17,0.8254455445544555,0.9143692564745196,0.8241525423728814,0.8546557811339522,0.04222710280216412,15,0.7363642900801783,0.8254593175853018,0.6952099737532809,0.752344527139587,0.05436143776933654,19,0.7696028170472788,0.8617216117216118,0.7351115509175963,0.7888119932288289,0.053443248475240845,17,False,10,1500.0,0.1
XGBoost,f1_macro,0.5120902856191,0.08173284256845918,0.02814332644144694,0.005043873739202198,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8898678414096917,0.9293598233995585,0.8874172185430463,0.9022149611174322,0.01922037199337089,19,0.8180800856322679,0.8983447283195394,0.8282914989344068,0.8482387709620713,0.03567467320511924,27,0.7350519541221732,0.8228346456692913,0.7021544181977253,0.7533470059963966,0.05093761555705583,18,0.7664993416721527,0.8544344473007712,0.7421799149638987,0.7877045679789408,0.048218365965567285,18,False,10,1500.0,0.05
XGBoost,f1_macro,0.3978479703267415,0.01581369065837623,0.024561246236165363,0.004048542389135729,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 1000}",0.8986784140969163,0.9205298013245033,0.8830022075055187,0.9007368076423128,0.015389559500983576,37,0.8362113583964617,0.8735268441728503,0.8104651162790697,0.8400677729494607,0.02588885643336071,43,0.7569122352856578,0.8119531933508312,0.6995297462817147,0.7561317249727345,0.04589999825698647,11,0.7880485527544351,0.8383425852498018,0.7360633210575496,0.7874848196872621,0.04175723743381019,19,False,5,1000.0,0.05
XGBoost,f1_macro,0.19580992062886557,0.005545439849008946,0.020773967107137043,0.0015593350380168555,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 500}",0.8920704845814978,0.9293598233995585,0.8830022075055187,0.9014775051621916,0.020060345045205142,28,0.8186111111111112,0.8983447283195394,0.8148827847501776,0.8439462080602761,0.0384956652032539,40,0.7474382483011541,0.8228346456692913,0.6938976377952756,0.7547235105885736,0.05288978656806606,16,0.7757165757609364,0.8544344473007712,0.7320693233938556,0.7874067821518546,0.0506346494098353,20,False,5,500.0,0.1
